Country Name,Country Code,Series,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,..,..,..
Afghanistan,AFG,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,818.72146,819.55802,..,..,..
Afghanistan,AFG,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Afghanistan,AFG,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Afghanistan,AFG,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Afghanistan,AFG,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Afghanistan,AFG,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,12053875,..,..
Albania,ALB,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,416.726257580122,..,..
Albania,ALB,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,469.95702,470.2367,371.75218,..,..
Albania,ALB,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Albania,ALB,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Albania,ALB,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Albania,ALB,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Albania,ALB,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,44114,..,..
Algeria,DZA,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,..,..,..
Algeria,DZA,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..
Algeria,DZA,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Algeria,DZA,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Algeria,DZA,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Algeria,DZA,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Algeria,DZA,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,5484148,..,..
American Samoa,ASM,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,..,..,..
American Samoa,ASM,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..
American Samoa,ASM,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
American Samoa,ASM,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
American Samoa,ASM,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
American Samoa,ASM,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
American Samoa,ASM,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..
Andorra,AND,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,..,..,..
Andorra,AND,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,93.70532,96.27938,104.44044,..,..
Andorra,AND,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Andorra,AND,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Andorra,AND,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Andorra,AND,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Andorra,AND,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..
Angola,AGO,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,..,..,..
Angola,AGO,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..
Angola,AGO,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Angola,AGO,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Angola,AGO,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Angola,AGO,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Angola,AGO,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..
Antigua and Barbuda,ATG,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,..,..,..
Antigua and Barbuda,ATG,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..
Antigua and Barbuda,ATG,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Antigua and Barbuda,ATG,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Antigua and Barbuda,ATG,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Antigua and Barbuda,ATG,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Antigua and Barbuda,ATG,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..
Arab World,ARB,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,..,..,..
Arab World,ARB,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..
Arab World,ARB,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Arab World,ARB,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Arab World,ARB,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Arab World,ARB,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Arab World,ARB,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,71298180,70731340,71750008,..,..
Argentina,ARG,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,404.071444821693,..,..
Argentina,ARG,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,30917.83822,35105.55042,..,..,..
Argentina,ARG,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Argentina,ARG,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Argentina,ARG,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Argentina,ARG,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Argentina,ARG,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,285286,..,333000,..,..
Armenia,ARM,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,..,..,..
Armenia,ARM,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,290.87508,312.11636,..,..,..
Armenia,ARM,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Armenia,ARM,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Armenia,ARM,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Armenia,ARM,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Armenia,ARM,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,6196,..,..,..
Aruba,ABW,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,..,..,..
Aruba,ABW,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,163.84205,..,..,..,..
Aruba,ABW,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Aruba,ABW,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Aruba,ABW,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Aruba,ABW,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Aruba,ABW,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,1908,..,..
Australia,AUS,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,502.964562882438,..,..
Australia,AUS,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,63788.17877,..,..,..,..
Australia,AUS,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,41798.3869609926,44247.3406468525,..,..
Australia,AUS,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,41798.3869609926,44286.5261634711,..,..
Australia,AUS,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,41798.3869609926,44729.452019171,..,..
Australia,AUS,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,41800.2967038929,44247.3406468525,..,..
Australia,AUS,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..
Austria,AUT,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,489.780439531409,..,..
Austria,AUT,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,21675.65731,..,..,..,..
Austria,AUT,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,40459.6898941326,41918.449237657,..,..
Austria,AUT,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,40548.1549105254,42701.9271413177,..,..
Austria,AUT,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Austria,AUT,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,40411.1363066759,42276.8487042252,..,..
