country,govFunds,primaryEnroll,illiteracyNo,GDP,infantMortalityRate
AFG,4.06,86.51,57.0,520.9,48
ALB,3.95,105.73,2.0,5268.8,8
BRA,6.24,115.45,3.0,8920.8,13
CHL,5.42,103.67,4.0,15923.4,6
CRI,7.40,113.29,2.0,12027.4,8
ALG,4.34,111.77,20.0,4114.7,20
ANG,3.48,64.29,32.59,3432.4,52
ARG,5.78,112.17,2.81,11683.9,9
ARM,3.15,93.69,0.3,4212.1,11
ARU,6.2,117,2.0,25630.3,10
AU,5.3,100,1.0,57373.7,3
AT,5.5,103,1.0,51462.0,3
AZ,2.5,100,0.21,4721.2,19
BH,2.2,81,1.0,32217.9,8
BAH,2.3,99,2.5,24050.8,6
BNG,2.0,116,27.11,1698.3,25
BAR,4.7,99,0.4,17949.3,11
BEL,4.8,101,0.2,6289.9,3
BLG,6.5,104,1.0,47518.6,3
BLZ,7.4,112,30.0,4884.7,11
BEN,4.0,122,58.0,901.5,61
BER,1.5,101,2.0,85748.1,2
BHU,6.6,100,33.0,3243.2,25
BOT,9.6,103,13.0,8258.6,30
BVI,2.4,129,1.0,34246,11.7
BRU,4.4,103,3.0,31628.3,10
BG,4.189,89,2.0,9272.6,6
BUF,6.0,96,59.0,715.1,49
BUR,5.0,121,32.0,271.8,41
CV,5.2,104,13.0,3635.4,17
