Series,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
PISA: Mean performance on the science scale,LO.PISA.SCI,Afghanistan,AFG,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Albania,ALB,427.225,..,..,416.726257580122,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Algeria,DZA,375.7451,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,American Samoa,ASM,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Andorra,AND,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Angola,AGO,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Antigua and Barbuda,ATG,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Arab World,ARB,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Argentina,ARG,432.2262,..,..,404.071444821693,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Armenia,ARM,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Aruba,ABW,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Australia,AUS,509.9939,..,..,502.964562882438,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Austria,AUT,495.0375,..,..,489.780439531409,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Azerbaijan,AZE,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,"Bahamas, The",BHS,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Bahrain,BHR,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Bangladesh,BGD,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Barbados,BRB,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Belarus,BLR,..,..,..,471.263680793452,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Belgium,BEL,501.9997,..,..,498.77312723922,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Belize,BLZ,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Benin,BEN,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Bermuda,BMU,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Bhutan,BTN,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Bolivia,BOL,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Bosnia and Herzegovina,BIH,..,..,..,398.497662699098,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Botswana,BWA,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Brazil,BRA,400.6821,..,..,403.620942039241,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,British Virgin Islands,VGB,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Brunei Darussalam,BRN,..,..,..,430.984376616659,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Bulgaria,BGR,445.772,..,..,424.073582875218,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Burkina Faso,BFA,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Burundi,BDI,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Cabo Verde,CPV,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Cambodia,KHM,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Cameroon,CMR,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Canada,CAN,527.7047,..,..,517.99766075567,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Caribbean small states,CSS,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Cayman Islands,CYM,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Central African Republic,CAF,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Central Europe and the Baltics,CEB,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Chad,TCD,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Channel Islands,CHI,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Chile,CHL,446.9561,..,..,443.582563387665,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,China,CHN,517.7793,..,..,590.452640080788,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Colombia,COL,415.7288,..,..,413.322992973877,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Comoros,COM,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,"Congo, Dem. Rep.",COD,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,"Congo, Rep.",COG,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Costa Rica,CRI,419.608,..,..,415.622462110576,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Cote d'Ivoire,CIV,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Croatia,HRV,475.3912,..,..,472.362619572977,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Cuba,CUB,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Curacao,CUW,..,..,..,..,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Cyprus,CYP,432.5964,..,..,439.008249797907,..,..
PISA: Mean performance on the science scale,LO.PISA.SCI,Czech Republic,CZE,492.83,..,..,496.791310656231,..,..
